graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,aut_grp_size,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str
28.,TRUE,6,4,2,FALSE,FALSE,"[5, 4]",2,"[[4, 1, 5, 0]]","[(0, 2), (1, 2), (2, 1), (3, 1), (4, 3), (5, 3)]","[[1, 0, 2, 3, 4, 5], [0, 1, 3, 2, 5, 4]]",4.0,"[0, 0, 2, 2, 4, 4]",3,0,1,0,0
29.,FALSE,7,3,3,FALSE,FALSE,"[5, 4]",2,"[[4, 5, 0], [4, 1, 5]]","[(0, 2), (1, 2), (2, 1), (3, 1), (4, 4), (5, 4)]","[[1, 0, 2, 3, 4, 5], [0, 1, 3, 2, 5, 4]]",4.0,"[0, 0, 2, 2, 4, 4]",3,2,0,0,0
32.,TRUE,7,3,2,FALSE,FALSE,[5],1,"[[4, 2, 5, 0], [4, 1, 5, 0]]","[(0, 2), (1, 2), (2, 2), (3, 1), (4, 3), (5, 4)]","[[0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",6.0,"[0, 0, 0, 3, 4, 5]",4,0,2,0,0
33.,FALSE,8,2,3,FALSE,FALSE,[5],1,"[[4, 5, 0], [4, 2, 5], [4, 1, 5]]","[(0, 2), (1, 2), (2, 2), (3, 1), (4, 4), (5, 5)]","[[0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",6.0,"[0, 0, 0, 3, 4, 5]",4,3,0,0,0
34.,TRUE,8,2,2,FALSE,TRUE,[],0,"[[4, 3, 5, 0], [4, 2, 5, 0], [4, 1, 5, 0]]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 4), (5, 4)]","[[0, 1, 2, 3, 5, 4], [0, 1, 3, 2, 4, 5], [0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",48.0,"[0, 0, 0, 0, 4, 4]",2,0,3,0,0
35.,FALSE,9,2,3,FALSE,FALSE,[],0,"[[4, 5, 0], [4, 3, 5], [4, 2, 5], [4, 1, 5]]","[(0, 2), (1, 2), (2, 2), (3, 2), (4, 5), (5, 5)]","[[0, 1, 2, 3, 5, 4], [0, 1, 3, 2, 4, 5], [0, 2, 1, 3, 4, 5], [1, 0, 2, 3, 4, 5]]",48.0,"[0, 0, 0, 0, 4, 4]",2,4,0,0,0
43.,TRUE,5,4,2,FALSE,FALSE,"[1, 5, 0]",3,[],"[(0, 2), (1, 2), (2, 1), (3, 1), (4, 1), (5, 3)]","[[1, 0, 2, 4, 3, 5]]",2.0,"[0, 0, 2, 3, 3, 5]",4,0,0,0,0
44.,FALSE,6,3,3,FALSE,FALSE,"[1, 5]",2,"[[3, 5, 0]]","[(0, 2), (1, 2), (2, 1), (3, 2), (4, 1), (5, 4)]","[[3, 1, 2, 0, 4, 5]]",2.0,"[0, 1, 2, 0, 4, 5]",5,1,0,0,0
45.,FALSE,7,2,3,FALSE,FALSE,[5],1,"[[3, 5, 0], [1, 4, 5]]","[(0, 2), (1, 2), (2, 1), (3, 2), (4, 2), (5, 5)]","[[0, 4, 2, 3, 1, 5], [1, 0, 2, 4, 3, 5]]",8.0,"[0, 0, 2, 0, 0, 5]",3,2,0,0,0
49.,FALSE,6,3,3,FALSE,FALSE,"[4, 5]",2,"[[3, 5, 0]]","[(0, 2), (1, 1), (2, 1), (3, 2), (4, 3), (5, 3)]","[[3, 1, 2, 0, 4, 5], [0, 2, 1, 3, 4, 5]]",4.0,"[0, 1, 1, 0, 4, 5]",4,1,0,0,0
