graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,grp_size_2,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,8_cycle_size_str
2857.,False,12,3,3,False,False,"[6, 7]",2,"[[4, 7, 0], [6, 7, 0], [5, 1, 7, 0], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 3), (5, 3), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,1,0,0,0,0
2858.,False,12,4,4,False,False,"[6, 7]",2,"[[4, 7, 0], [5, 7, 0], [5, 1, 7], [6, 1, 7, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 3), (5, 4), (6, 3), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,1,0,0,0,0
2859.,False,13,3,4,False,False,"[6, 7]",2,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 1, 7], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 3), (5, 4), (6, 4), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,6,0,0,0,0,0
2867.,False,12,3,3,False,False,[7],1,"[[6, 7, 0], [6, 2, 7], [5, 1, 7, 0], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 2), (5, 3), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,1,0,0,0,0
2868.,False,12,3,3,False,False,[7],1,"[[5, 7, 0], [6, 2, 7, 0], [5, 1, 7], [6, 1, 7, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 2), (5, 4), (6, 3), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,3,2,0,0,0,0
2869.,False,13,3,3,False,False,[7],1,"[[5, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 7], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 2), (5, 4), (6, 4), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,6,0,0,0,0,0
2870.,False,12,3,3,False,False,[7],1,"[[4, 7, 0], [6, 2, 7, 0], [5, 1, 7, 0], [6, 1, 7, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 3), (5, 3), (6, 3), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,2,3,0,0,0,0
2871.,False,13,3,3,False,False,[7],1,"[[4, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 7, 0], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 3), (5, 3), (6, 4), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,5,1,0,0,0,0
2872.,False,13,3,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 2, 7, 0], [5, 1, 7], [6, 1, 7, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 3), (5, 4), (6, 3), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,2,0,0,0,0
2873.,False,14,2,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 7], [6, 1, 7], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 3), (5, 4), (6, 4), (7, 7)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,7,0,0,0,0,0
2874.,False,13,3,4,False,False,"[6, 7]",2,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [4, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 1), (3, 1), (4, 4), (5, 4), (6, 5), (7, 5)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,5,1,0,0,0,0
2876.,False,13,3,3,False,False,[7],1,"[[5, 7, 0], [6, 7, 0], [6, 2, 7], [4, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 3), (5, 4), (6, 5), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,5,1,0,0,0,0
2877.,False,13,3,4,False,False,[7],1,"[[4, 7, 0], [6, 7, 0], [6, 2, 7], [4, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 4), (5, 3), (6, 5), (7, 5)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,5,1,0,0,0,0
2878.,False,13,3,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 2, 7, 0], [4, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 4), (5, 4), (6, 4), (7, 5)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,4,2,0,0,0,0
2879.,False,14,3,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [6, 2, 7], [4, 6, 0], [5, 1, 6, 0], [4, 5, 0]]","[(0, 4), (1, 2), (2, 2), (3, 1), (4, 4), (5, 4), (6, 5), (7, 6)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,6,1,0,0,0,0
2880.,False,13,3,4,False,False,"[6, 7]",2,"[[4, 7, 0], [6, 7, 0], [5, 1, 7, 0], [6, 1, 7], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 4), (5, 3), (6, 5), (7, 5)]","[[4, 1, 2, 3, 0, 5, 6, 7], [0, 1, 3, 2, 4, 5, 7, 6]]",4.0,0,"[0, 1, 2, 2, 0, 5, 6, 6]",5,5,1,0,0,0,0
2881.,False,13,4,4,False,False,"[6, 7]",2,"[[4, 7, 0], [5, 7, 0], [5, 1, 7], [6, 1, 7, 0], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 4), (5, 4), (6, 4), (7, 5)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,5,1,0,0,0,0
2882.,False,14,3,4,False,False,"[6, 7]",2,"[[4, 7, 0], [5, 7, 0], [6, 7, 0], [5, 1, 7], [6, 1, 7], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 1), (3, 1), (4, 4), (5, 4), (6, 5), (7, 6)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,7,0,0,0,0,0
2886.,False,13,3,3,False,False,[7],1,"[[5, 7, 0], [6, 2, 7, 0], [5, 1, 7], [6, 1, 7, 0], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 3), (5, 4), (6, 4), (7, 5)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,4,2,0,0,0,0
2887.,False,14,3,3,False,False,[7],1,"[[5, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 7], [6, 1, 7], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 3), (5, 4), (6, 5), (7, 6)]",[],1.0,0,"[0, 1, 2, 3, 4, 5, 6, 7]",8,7,0,0,0,0,0
2888.,False,13,3,3,False,False,[7],1,"[[4, 7, 0], [6, 2, 7, 0], [5, 1, 7, 0], [6, 1, 7, 0], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 4), (5, 3), (6, 4), (7, 5)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,3,3,0,0,0,0
2889.,False,14,3,4,False,False,[7],1,"[[4, 7, 0], [6, 7, 0], [6, 2, 7], [5, 1, 7, 0], [6, 1, 7], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 4), (5, 3), (6, 5), (7, 6)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,6,1,0,0,0,0
2890.,False,14,3,4,False,False,[7],1,"[[4, 7, 0], [5, 7, 0], [6, 2, 7, 0], [5, 1, 7], [6, 1, 7, 0], [4, 6, 0], [4, 5, 0]]","[(0, 4), (1, 3), (2, 2), (3, 1), (4, 4), (5, 4), (6, 4), (7, 6)]","[[4, 1, 2, 3, 0, 5, 6, 7]]",2.0,0,"[0, 1, 2, 3, 0, 5, 6, 7]",7,5,2,0,0,0,0
