graph_number,is_bipartite,num_edges,diameter,clique_num,is_distance_regular,is_eulerian,cut_vertice_list,num_cut_vertices,cycle_basis,degree_sequence,aut_group_generator,grp_size_1,orbits,num_orbits,3_cycle_size_str,4_cycle_size_str,5_cycle_size_str,6_cycle_size_str,7_cycle_size_str,
580, False ,12,2,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 2, 6, 0], [5, 1, 6, 0], [3, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 2), (3, 4), (4, 3), (5, 4), (6, 5)] "," [[3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 0, 4, 5, 6] ",5,4,2,0,0,0,"
"
581, False ,13,2,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [5, 2, 6], [5, 1, 6], [3, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 2), (3, 4), (4, 3), (5, 5), (6, 6)] "," [[3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6]] ",4," [0, 1, 1, 0, 4, 5, 6] ",5,7,0,0,0,0,"
"
582, False ,13,2,4, False , False , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 2, 6, 0], [5, 1, 6, 0], [3, 5, 0], [4, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 2), (3, 4), (4, 4), (5, 5), (6, 5)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 4, 3, 5, 6], [3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6]] ",24," [0, 1, 1, 0, 0, 5, 5] ",3,5,2,0,0,0,"
"
583, False ,14,2,5, False , True , [] ,0," [[3, 6, 0], [4, 6, 0], [5, 6, 0], [5, 2, 6], [5, 1, 6], [3, 5, 0], [4, 5, 0], [3, 4, 0]] "," [(0, 4), (1, 2), (2, 2), (3, 4), (4, 4), (5, 6), (6, 6)] "," [[0, 1, 2, 3, 4, 6, 5], [0, 1, 2, 4, 3, 5, 6], [3, 1, 2, 0, 4, 5, 6], [0, 2, 1, 3, 4, 5, 6]] ",24," [0, 1, 1, 0, 0, 5, 5] ",3,8,0,0,0,0,"
"
588, False ,8,3,2, False , False , [6] ,1," [[4, 1, 6, 0], [3, 5, 1, 6, 0]] "," [(0, 3), (1, 3), (2, 1), (3, 2), (4, 2), (5, 2), (6, 3)] "," [[1, 0, 2, 5, 4, 3, 6]] ",2," [0, 0, 2, 3, 4, 3, 6] ",5,0,1,1,0,0,"
"
589, False ,9,3,3, False , False , [6] ,1," [[4, 6, 0], [4, 1, 6], [3, 5, 1, 6, 0]] "," [(0, 3), (1, 3), (2, 1), (3, 2), (4, 3), (5, 2), (6, 4)] "," [[1, 0, 2, 5, 4, 3, 6]] ",2," [0, 0, 2, 3, 4, 3, 6] ",5,2,0,1,0,0,"
"
590, False ,9,3,3, False , False , [6] ,1," [[3, 6, 0], [4, 1, 6, 0], [3, 5, 1, 6]] "," [(0, 3), (1, 3), (2, 1), (3, 3), (4, 2), (5, 2), (6, 4)] "," [[3, 1, 2, 0, 5, 4, 6]] ",2," [0, 1, 2, 0, 4, 4, 6] ",5,1,2,0,0,0,"
"
591, False ,10,3,3, False , False , [6] ,1," [[3, 6, 0], [4, 6, 0], [4, 1, 6], [3, 5, 1, 6]] "," [(0, 3), (1, 3), (2, 1), (3, 3), (4, 3), (5, 2), (6, 5)] "," [[4, 3, 2, 1, 0, 5, 6]] ",2," [0, 1, 2, 1, 0, 5, 6] ",5,3,1,0,0,0,"
"
592, False ,11,2,3, False , False , [6] ,1," [[3, 6, 0], [4, 6, 0], [1, 5, 6], [3, 5, 6], [4, 1, 6]] "," [(0, 3), (1, 3), (2, 1), (3, 3), (4, 3), (5, 3), (6, 6)] "," [[0, 5, 2, 4, 3, 1, 6], [1, 3, 2, 4, 5, 0, 6]] ",10," [0, 0, 2, 0, 0, 0, 6] ",3,5,0,0,0,0,"
"
593, False ,7,3,2, True , True , [] ,0," [[3, 6, 2, 5, 1, 4, 0]] "," [(0, 2), (1, 2), (2, 2), (3, 2), (4, 2), (5, 2), (6, 2)] "," [[0, 6, 5, 4, 3, 2, 1], [1, 0, 6, 5, 4, 3, 2]] ",14," [0, 0, 0, 0, 0, 0, 0] ",1,0,0,0,0,1,"
"
594, False ,8,4,3, False , False ," [4, 0] ",2," [[1, 6, 4], [1, 5, 2, 6]] "," [(0, 2), (1, 3), (2, 2), (3, 1), (4, 3), (5, 2), (6, 3)] "," [[0, 6, 5, 3, 4, 2, 1]] ",2," [0, 1, 2, 3, 4, 2, 1] ",5,1,1,0,0,0,"
"
